标题,简介,属性
米哈游,米哈游（英文名：mihoyo）是上海米哈游网络科技股份有限公司旗下品牌，围绕原创IP打造了动画、音乐及周边等多元产品。2011年，刘伟、蔡浩宇、罗宇皓成立了米哈游。2012年10月，米哈游推出《崩坏学园》。2014年1月，米哈游推出《崩坏学园2》。2016年9月，米哈游推出《崩坏3》。2020年7月30日，米哈游推出《未定事件簿》；9月28日，米哈游推出《原神》。2023年1月13日，米哈游入选“2022胡润中国500强”第253名。4月26日，米哈游推出《崩坏：星穹铁道》；5月，米哈游入选“2023全球独角兽榜”；8月10日至8月13日，米哈游举办了“原神FES”9月，米哈游入选福布斯“中国企业跨国经营50强”榜单。2024年4月9日，米哈游以1600亿元人民币位列第12名、中国十大独角兽排名第5名；7月4日，米哈游动作游戏《绝区零》全平台公测；07月08日，原神官方发布原神FES 20,"{'中文名': '米哈游', '外文名': 'mihoyo', '创立时间': '2011年', '创始人': '刘伟、蔡浩宇、罗宇皓', '所属公司': '上海米哈游网络科技股份有限公司', '商标注册号': '15103375'}"
腾讯,腾讯，全称“深圳市腾讯计算机系统有限公司”，1998年11月由马化腾、张志东、许晨晔、陈一丹、曾李青共同创立，2023年总收入6090.15亿元。服务包括：社交和通信服务QQ及微信/WeChat、社交网络平台QQ空间、腾讯游戏旗下QQ游戏平台、门户网站腾讯网、腾讯新闻客户端和网络视频服务腾讯视频等。2004年腾讯公司在香港联交所主板公开上市（股票代号00700），董事会主席兼首席执行官是马化腾。财报显示，于2021年12月31日，腾讯集团有112771名雇员（2020年:85858名）。2018年12月，世界品牌实验室编制的《2018世界品牌500强》揭晓，排名第39。2019年7月，发布2019《财富》世界500强：位列237位。2019年8月，入选2019年中国最佳董事会50强。2019年9月1日，2019中国服务业企业500强榜单在济南发布，腾讯控股有限公司排名第32位。2019年1,"{'公司名称': '深圳市腾讯计算机系统有限公司', '外文名': 'Tencent', '成立时间': '1998年11月11日', '法定代表人': '马化腾', '总部地点': '中国深圳', '经营范围': '互联网', '公司类型': '有限责任公司', '公司口号': '一切以用户价值为依归', '年营业额': '6090.15 亿元（2023年）', '员工数': '106200 人（2023年）', '创始人': '马化腾、张志东、许晨晔、陈一丹、曾李青', '企业愿景': '最受尊敬的互联网企业', '公司使命': '通过互联网服务提升人类生活品质', '董事局主席': '马化腾', '总裁': '刘炽平', '注册地': '深圳市南山区粤海街道麻岭社区科技中一路腾讯大厦35层', '注册号': '440301103448669', '注册资本': '6500万元人民币', '登记机关': '深圳市市场监督管理局南山局'}"
阿里巴巴集团控股有限公司,阿里巴巴集团控股有限公司（简称：阿里巴巴集团），2024财年收入9411.68亿元，同比增长8%。是以曾担任英语教师的马云为首的18人于1999年在浙江省杭州市创立的公司。阿里巴巴集团经营多项业务，另外也从关联公司的业务和服务中取得经营商业生态系统上的支援。业务和关联公司的业务包括：淘宝网、天猫、聚划算、全球速卖通、阿里巴巴国际交易市场、1688、阿里妈妈、阿里云、蚂蚁金服、菜鸟网络等。2014年9月19日，阿里巴巴集团在纽约证券交易所挂牌上市，创造了史上最大IPO记录，股票代码“BABA”，创始人为马云。2019年9月6日，阿里巴巴集团宣布20亿美元全资收购网易考拉，领投网易云音乐7亿美元融资。10月，2019福布斯全球数字经济100强榜位列10位。11月16日，胡润研究院发布《2019胡润全球独角兽活跃投资机构百强榜》，阿里巴巴排名第7位。11月26日，阿里巴巴港股上市，总市值超4万亿,"{'公司名称': '阿里巴巴集团控股有限公司', '外文名': 'Alibaba Group Holding Limited', '成立时间': '1999年6月28日', '年营业额': '8686.87 亿元（2022年）', '创始人': '马云', '董事长': '蔡崇信', '注册地': 'Cayman Islands开曼群岛（英属）', '办公地址': '香港铜锣湾勿地臣街1号时代广场1座26楼浙江省杭州市余杭区文一西路969号', '股票代码': 'BABA[4-5]', 'CEO': '吴泳铭'}"
苹果,苹果（Malus pumila Mill.），蔷薇科苹果属落叶乔木植物，茎干较高，小枝短而粗，呈圆柱形；叶片椭圆形，表面光滑，边缘有锯齿，叶柄粗壮；花朵较小呈伞状，淡粉色，表面有绒毛；果实较大，呈扁球形，果梗短粗；花期5月；果期7~10月。苹果名称最早是见于明代王世懋的《学圃余疏》“北土之苹婆果，即花红一种之变也。”苹果原产欧洲中部、伊朗北部、俄罗斯高加索南部一带，中国主要分布在新疆、宁夏地区，一般生长在山坡梯田、平原矿野以及丘陵等地。陕西渭北和陕北地带，符合生产优质苹果的七项气象指标，是世界公认的苹果最佳优生区。苹果喜光、耐寒、要求较冷凉及干燥的气候，不耐瘠薄，适生于土质疏松、深厚肥沃、排水良好的中性或微酸性的砂质壤土。繁殖方式有块茎法、嫁接法、播种法、扦插法，自然繁殖后代方式用种子进行传播，其中嫁接繁殖最快。《滇南本草》记载“苹果生津、润肺、解暑、开胃、醒酒，可治筋骨疼痛等。”苹果是营,"{'中文名': '苹果', '拉丁学名': 'Malus pumilaMill.', '别名': '西洋苹果、柰、嘎啦、黄元帅', '界': '植物界', '门': '被子植物门', '纲': '木兰纲', '目': '蔷薇目', '科': '蔷薇科', '属': '苹果属', '种': '苹果', '命名者及年代': 'Mill.，1768;'}"
微软,微软（Microsoft）是一家美国跨国科技企业，1975年4月4日创立。2023财年营收2119.15亿美元，公司总部设立在华盛顿州雷德蒙德（Redmond，邻近西雅图），以研发、制造、授权和提供广泛的电脑软件服务业务为主。最为著名和畅销的产品为Windows操作系统和Office系列软件，是全球最大的电脑软件提供商、世界PC（Personal Computer，个人计算机）软件开发的先导。2017年全球最赚钱企业排行榜第15。2018年BrandZ全球最具价值品牌100强第4位。2018世界品牌500强第4位。2019福布斯全球数字经济100强榜排名第2位。Interbrand全球品牌百强排名第四位。2020年《财富》全球最受赞赏公司榜单第3位。2020福布斯全球企业2000强榜第13位。福布斯2020全球品牌价值100强第3位。2021福布斯全球企业2000强第15位。2022年8月,"{'公司名称': '微软', '外文名': 'Microsoft', '所属行业': '计算机软件', '成立时间': '1975年4月4日', '总部地点': '美国华盛顿州雷德蒙德', '经营范围': '操作系统、办公软件、平板、游戏机、云服务', '公司类型': '跨国科技企业', '公司口号': '新效率（New Efficiency）', '年营业额': '1430.15 亿美元（2020年）', '员工数': '175508 人（2021年）', '联合创始人': '比尔·盖茨、保罗·艾伦', '现任董事长': '萨提亚·纳德拉', '首席执行官': '萨提亚·纳德拉', '首席运营官': '凯文·特纳', '世界500强': '第33名（2022年）', '成立地点': '美国新墨西哥州阿尔伯克基市', '中国总部': '中国北京海淀区丹棱街5号', '利润': '833.83亿（2022年度）'}"
Google,谷歌公司（Google Inc.）成立于1998年9月4日，2022财年收入2828亿美元，由拉里·佩奇和谢尔盖·布林共同创建，被公认为全球最大的搜索引擎公司。谷歌是一家位于美国的跨国科技企业，业务包括互联网搜索、云计算、广告技术等，同时开发并提供大量基于互联网的产品与服务，其主要利润来自于关键词广告等服务。1999年下半年，谷歌网站“Google”正式启用。2010年3月23日，宣布关闭在中国大陆地区市场搜索服务。2015年8月10日，宣布对企业架构进行调整，并创办了一家名为Alphabet的“伞形公司”（Umbrella Company），成为Alphabet旗下子公司。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，以2291.98亿美元的品牌价值重新超越苹果成为百强第一。2017年2月，Brand Finance发布2017年度全球500强品牌榜单，排名第,"{'公司名称': '谷歌', '外文名': 'Google', '成立时间': '1998年9月4日', '总部地点': '美国加利福尼亚州圣克拉拉县山景市', '经营范围': '网络信息服务、搜索引擎、移动操作系统等', '公司口号': '完美的搜索引擎，不作恶（Dont be evil）', '年营业额': '1618.57 亿美元（2019年）', '员工数': '98771 人（2018年）', '联合创始人': '拉里·佩奇、谢尔盖·布林', '董事长': '埃里克·施密特', '首席执行官': '桑达尔·皮查伊', '首席业务官': '尼科什·阿罗拉', '首席财务官': '帕特里克·皮切特', '母公司': 'Alphabet Inc.'}"
华为技术有限公司,华为技术有限公司，1987年由任正非创立，总部位于广东省深圳市龙岗区。华为是全球领先的信息与通信技术（ICT）解决方案供应商，专注于ICT领域，坚持稳健经营、持续创新、开放合作，在电信运营商、企业、终端和云计算等领域构筑了端到端的解决方案优势，为运营商客户、企业客户和消费者提供有竞争力的ICT解决方案、产品和服务，并致力于实现未来信息社会，构建更美好的全连接世界。2011年初，华为终端开启从To B运营商市场向To C大众消费者转型。2018年，华为智能手机发货2.06亿台，在全球智能手机市场稳居全球前三；同年2月23日，沃达丰和华为完成首次5G通话测试。2019年8月9日，华为正式发布鸿蒙系统（Harmony OS）；8月22日，2019中国民营企业500强发布，华为以7212亿营收排名第一；12月15日，华为获得了首批“2019中国品牌强国盛典”年度荣耀品牌的殊荣。2020年11月17,"{'公司名称': '华为技术有限公司', '外文名': 'Huawei Technologies Co., Ltd', '所属行业': '计算机、通信和其他电子设备制造业', '成立时间': '1987年9月15日', '法定代表人': '赵明路', '总部地点': '中华人民共和国广东省深圳市龙岗区坂田华为总部办公楼', '经营范围': 'IT、无线电、微电子、通讯、路由、程控交换机等', '公司类型': '有限责任公司[91-92]（法人独资）', '公司口号': '构建万物互联的智能世界（Building an intelligent world of interconnected everything）', '年营业额': '7042 亿元（2023年）', '员工数': '195000 人（2022年）', '创始人': '任正非', '董事长': '梁华', '宣传语': '华为，不仅仅是世界500强（Huawei, not just the Fortune Global 500）', '著名产品': '智能手机、终端路由器、交换机、电脑', '轮值董事长': '徐直军、胡厚崑、孟晚舟', '专利数量': '74,307件（2017年底）', '世界500强': '第111位（2023年）', '注册资本': '约407.41亿人民币'}"
小米科技有限责任公司,小米科技有限责任公司成立于2010年3月3日，是专注于智能硬件、电子产品、芯片研发、智能手机、智能电动汽车、通信、金融、互联网电视及智能家居生态链建设的全球化移动互联网企业、创新型科技企业。小米公司创造了用互联网模式开发手机操作系统、发烧友参与开发改进的模式。“为发烧而生”是小米的产品概念。“让每个人都能享受科技的乐趣”是小米公司的愿景。小米公司应用了互联网开发模式开发产品，用极客精神做产品，用互联网模式干掉中间环节，致力让全球每个人，都能享用来自中国的优质科技产品。小米是全球最大消费类IoT物联网平台，连接超过7.86亿台智能设备，进入全球100多个国家和地区。全球智能手机和平板产品月活用户达6.58亿。小米系投资的公司超500家，覆盖智能硬件、生活消费用品、教育、游戏、社交网络、文化娱乐、医疗健康、汽车交通、金融等领域。2019年6月，入选2019福布斯中国最具创新力企业榜。10月，入,"{'公司名称': '小米科技有限责任公司', '外文名': 'Xiaomi Corporation', '所属行业': '科技推广和应用服务业', '成立时间': '2010年3月3日', '法定代表人': '雷军', '总部地点': '北京市海淀区安宁庄路小米科技园', '经营范围': '电器、数码产品及软件', '公司类型': '有限责任公司（自然人投资或控股）', '公司口号': '永远相信美好的事情即将发生', '年营业额': '2709.7 亿元（2023年）', '员工数': '32543 人', '创始人': '雷军', '董事长兼CEO': '雷军', '总裁': '卢伟冰', '市值': '2353亿', '股票代码': '01810（香港联交所股份代号）', '企业类型': '上市民营企业', '世界500强': '360位（2023年）', '旗下品牌': '小米、红米、米家、POCO、小米有品、日常元素、紫米、天星数科、光影猎人等[418-419]', '经营策略': '规模与利润'}"
联想集团,联想集团是一家成立于中国、业务遍及180个市场的全球化科技公司。联想聚焦全球化发展，持续开发创新技术，致力于建设一个更加包容、值得信赖和可持续发展的数字化社会，引领和赋能智能化新时代的转型变革，为全球数以亿计的消费者打造更好的体验和机遇。联想作为全球领先ICT科技企业，秉承“智能，为每一个可能”的理念，联想持续研究、设计与制造全球最完备的端到端智能设备与智能基础架构产品组合，为用户与全行业提供整合了应用、服务和最佳体验的智能终端，以及强大的云基础设施与行业智能解决方案。作为全球智能设备的领导厂商，联想每年为全球用户提供数以亿计的智能终端设备，包括电脑、平板、智能手机等。2021年联想PC销售量居全球第一。作为企业数字化和智能化解决方案的全球顶级供应商，联想积极推动全行业“设备+云”和“基础设施+云”的发展，以及智能化解决方案的落地。面向新一轮智能化变革的产业升级契机，联想提出智能变革战略，,"{'公司名称': '联想集团', '外文名': 'Lenovo Group', '成立时间': '1984年', '经营范围': 'ICT行业', '公司类型': '上市公司', '公司口号': '联想，用智慧连接世界', '年营业额': '约 619.47 亿美元（2022年）', '员工数': '7.15 万人（2021年）', 'CEO': '杨元庆', '世界500强': '第159名（2021年）', '创始人': '曾茂朝、柳传志', '公司愿景': '智能，为每一个可能', '全球总部办公园区': '中国北京、天津[133-134]', '注册办事处': '中国香港鰂鱼涌英皇道979号太古坊林肯大厦23楼', '公司所在地': '中国香港'}"
百度,百度（Baidu）是拥有强大互联网基础的领先AI公司。百度愿景是：成为最懂用户，并能帮助人们成长的全球顶级高科技公司。“百度”二字，来自于八百年前南宋词人辛弃疾的一句词：众里寻他千百度。这句话描述了词人对理想的执着追求。1999年底，身在美国硅谷的李彦宏看到了中国互联网及中文搜索引擎服务的巨大发展潜力，抱着技术改变世界的梦想，他毅然辞掉硅谷的高薪工作，携搜索引擎专利技术，于 2000年1月1日在中关村创建了百度公司。百度拥有数万名研发工程师，这是中国乃至全球都顶尖的技术团队。这支队伍掌握着世界上领先的搜索引擎技术，使百度成为掌握世界尖端科学核心技术的中国高科技企业，也使中国成为美国、俄罗斯和韩国之外，全球仅有的4个拥有搜索引擎核心技术的国家之一。,"{'公司名称': '百度', '外文名': 'Baidu', '成立时间': '2000年1月', '总部地点': '中国北京海淀区上地十街10号百度大厦', '公司类型': 'AI驱动的技术型公司', '公司口号': '百度一下，生活更好', '年营业额': '1345.98 亿元（2023年）', '员工数': '33700 人（2023年）', '董事长': '李彦宏', '官网': 'www.baidu.com', '使命': '用科技让复杂的世界更简单', '品牌主张': '世界很复杂，百度更懂你', '愿景': '成为最懂用户，并能帮助人们成长的全球顶级高科技公司'}"
北京抖音信息服务有限公司,北京抖音信息服务有限公司，成立于2012年3月9日，2023年收入8635亿元。地址位于北京市海淀区北三环西路甲23号院1号楼2层222。公司以建设“全球创作与交流平台”为愿景。字节跳动的全球化布局始于2015年，“技术出海”是字节跳动全球化发展的核心战略，其旗下产品有今日头条、西瓜视频、抖音、头条百科、皮皮虾、懂车帝、悟空问答等。字节跳动人工智能实验室成立于2016年，旨在针对人工智能相关领域的长期性和开放性问题进行探索，帮助公司实现对未来发展的构想。其独立研发的“今日头条”客户端，通过海量信息采集、深度数据挖掘和用户行为分析，为用户智能推荐个性化信息，从而开创了一种全新的新闻阅读模式。2021年5月20日，张一鸣宣布卸任字节跳动CEO，联合创始人梁汝波将接任。2021年11月2日，梁汝波发布全员邮件宣布组织调整，并已正式接任字节跳动CEO，全面负责该公司的整体发展。2024年4月25日,"{'公司名称': '北京抖音信息服务有限公司', '外文名': 'ByteDance', '所属行业': '信息科技', '成立时间': '2012年3月9日', '总部地点': '北京市海淀区知春路甲48号2号楼10A室', '经营范围': '技术开发、技术推广、技术转让、技术咨询、技术服务等', '公司类型': '有限责任公司', '年营业额': '约 1400 亿元（2019年）', '创始人': '张一鸣'}"
网易,网易（NASDAQ: NTES），1997年由创始人兼CEO丁磊先生在广州创办，2000年在美国纳斯达克股票交易所挂牌上市，是中国领先的互联网技术公司。在开发互联网应用、服务及其它技术方面，始终保持中国业界领先地位。本着对中国互联网发展强烈的使命感，缔造美好生活的愿景，网易利用最先进的互联网技术，加强人与人之间信息的交流和共享。2024年5月23日，网易公布2024年第一季度营收269亿元，同比增长7.2%。,"{'公司名称': '网易', '外文名': 'NetEase', '所属行业': '网络信息服务业', '成立时间': '1997年6月', '总部地点': '杭州、广州[165-166]', '经营范围': '互联网', '公司类型': '互联网技术公司', '公司口号': '网聚人的力量', '年营业额': '964.96 亿元（2022年）', '股票代码': 'NTES（美股）', '创始人': '丁磊', '分公司': '北京、上海', '网易广告词': '网聚人的力量', '公司理念': '以匠心、致创新'}"
京东,京东（股票代码：JD），中国自营式电商企业，创始人刘强东担任京东集团董事局主席兼首席执行官。2023年收入10847亿元。旗下设有京东商城、京东金融、拍拍网、京东智能、O2O及海外事业部等。2013年正式获得虚拟运营商牌照。2014年5月在美国纳斯达克证券交易所正式挂牌上市。2015年7月，京东入选纳斯达克100指数和纳斯达克100平均加权指数。2016年6月与沃尔玛达成深度战略合作，1号店并入京东。2017年1月4日，中国银联宣布京东金融旗下支付公司正式成为银联收单成员机构。2017年4月25日，京东集团宣布正式组建京东物流子集团。2018年7月24日，京东增资安联财险中国的方案获得了银保监会的批准。9月4日，京东集团与如意控股集团签署战略合作协议。2019年8月22日，进入2019中国民营企业500强前十名；2019中国民营企业服务业100强发布，京东集团排名第4。2020年4月，京东,"{'公司名称': '北京京东世纪贸易有限公司', '外文名': 'JD', '成立时间': '1998年6月18日', '总部地点': '北京亦庄经济技术开发区科创十一街18号院', '经营范围': '网络零售服务', '公司类型': 'B2C', '公司口号': '多·快·好·省', '年营业额': '10462.36 亿元（2022年）', '员工数': '17.9 万人（截止到2019年3月底）', '吉祥物': '狗（名为joy）', '所获荣誉': '2023《财富》世界500强：位列52位', '标语口号': '网购上京东，省钱又放心', '创始人': '刘强东', '董事局主席': '刘强东', '集团总裁': '徐雷', '公司使命': '技术为本，让生活更美好'}"
拼多多,拼多多，是国内移动互联网的主流电子商务应用产品平台。2021年全年，拼多多年成交额（GMV）为24410亿元，专注于C2M拼团购物的第三方社交电商平台，成立于2015年9月，用户通过发起和朋友、家人、邻居等的拼团，可以以更低的价格，拼团购买优质商品。拼多多旨在凝聚更多人的力量，用更低的价格买到更好的东西，体会更多的实惠和乐趣。通过沟通分享形成的社交理念，形成了拼多多独特的新社交电商思维。2019年12月，拼多多入选2019中国品牌强国盛典榜样100品牌。2021年3月，黄峥辞任拼多多董事长，由联合创始人陈磊接任。截至2020年底，拼多多年活跃买家数达7.884亿，成为中国用户规模最大的电商平台。2022年9月1日，拼多多上线跨境电商平台，暂定名为“Temu”。,"{'软件名称': '拼多多', '软件平台': 'AndroidiOS', '上线时间': '2015年4月', '最近更新时间': '2024年2月22日', '软件语言': '中文', '开发商': '上海寻梦信息技术有限公司', '软件版本': '6.98.0', '软件大小': '26.06 MB', '年营业额': '1305.58 亿元（2022年）', '创始人': '黄峥', '软件分类': '购物休闲', '别名': 'PDD'}"
美团,"美团是一家科技零售公司。美团以“零售+科技”的战略践行“帮大家吃得更好，生活更好”的公司使命。自2010年3月成立以来，美团持续推动服务零售和商品零售在需求侧和供给侧的数字化升级，和广大合作伙伴一起努力为消费者提供品质服务。2018年9月20日，美团在港交所挂牌上市。美团始终以客户为中心，不断加大在新技术上的研发投入。美团会和大家一起努力，更好承担社会责任，更多创造社会价值。2023年5月, 美团正式在中国香港推出外卖平台KeeTa。2024年5月，美团的会员体系将全面升级，以往只覆盖外卖业务的“神会员”，将开始逐步扩展到到店业务。6月7日，苏宁易购与美团宣布深化合作，正式上线“空调最快2小时即送即装”服务，当地消费者在美团App搜索“空调2小时达”，就近选择苏宁易购门店，即可享空调“即送即装”，从下单购买空调到上门完成安装，全程最快两小时。7月2日，美团团购上线“秒提”服务。7月4日，美","{'公司名称': '美团', '外文名': 'Beijing Science and Technology Co, three fast online', '所属行业': '互联网', '成立时间': '2011年5月6日', '法定代表人': '穆荣均', '总部地点': '北京市海淀区海淀苏州街18号院2楼507', '经营范围': '网络购物', '公司类型': '有限责任公司(自然人投资或控股)', '公司口号': '帮大家吃得更好，生活更好', '年营业额': '326.99 亿美元（2022年）', '创办人': '王兴', '市场份额': '55%（王兴接受采访时透露）', '官网': 'http://www.meituan.com/', '性质': '团购网站', '注册地址': '北京市海淀区北四环西路9号'}"
滴滴出行,"滴滴出行是涵盖出租车、专车、滴滴快车、顺风车、代驾及大巴、货运等多项业务在内的一站式出行平台，2023年总收入1924亿元，同比增长36.6%。2015年09月09日由“滴滴打车”更名而来。2021年6月11日，滴滴出行正式向美国证券交易委员会递交了IPO招股书，截至2021年3月31日的三个月，实现营收为422亿元。6月30日，滴滴正式在纽交所挂牌上市，股票代码为 ""DIDI""。2021年7月2日，网络安全审查办公室公告称，对“滴滴出行”实施网络安全审查，审查期间“滴滴出行”停止新用户注册。7月4日，国家互联网信息办公室通知应用商店下架“滴滴出行”App。7月16日，国家互联网信息办公室等七部门进驻滴滴出行科技有限公司开展网络安全审查。2022年7月21日，国家互联网信息办公室依据《网络安全法》《数据安全法》《个人信息保护法》《行政处罚法》等法律法规，对滴滴全球股份有限公司处人民币80.","{'软件名称': '滴滴出行', '软件平台': 'AndroidiOS', '上线时间': '2014年8月19日', '软件语言': '简体中文/English', '开发商': '北京小桔科技有限公司', '软件版本': 'iOS(5.4.16)/Android(5.4.6)', '软件大小': 'iOS（502.6MB）Android（86.23MB）', '创始人及CEO': '程维'}"
蚂蚁科技集团股份有限公司,蚂蚁集团起步于2004年诞生的支付宝，源于一份为社会解决信任问题的初心，经过多年的发展，已成为世界领先的互联网开放平台。蚂蚁集团通过科技创新，助力合作伙伴，为消费者和小微企业提供普惠便捷的数字生活及数字金融服务；持续开放产品与技术，助力企业的数字化升级与协作；在全球广泛合作，服务当地商家和消费者实现“全球收”、“全球付”和“全球汇”。2013年3月支付宝的母公司宣布将以其为主体筹建小微金融服务集团，小微金融成为蚂蚁金服的前身。2020年7月蚂蚁金服正式更名为蚂蚁集团。2021年1月15日，央行副行长陈雨露表示，金融管理部门在与蚂蚁集团保持密切的监管沟通。4月12日，人民银行、银保监会、证监会、外汇局等金融管理部门再次联合约谈蚂蚁集团。2023年7月7日报道，金融管理部门对蚂蚁集团及旗下机构处以罚款（含没收违法所得）71.23亿元。2024年3月，华为自研的鸿蒙操作系统与蚂蚁数科、阿里云合作,"{'公司名称': '蚂蚁科技集团股份有限公司', '外文名': 'ANT GROUP', '成立时间': '2014年10月16日', '总部地点': '中国 浙江杭州', '经营范围': '互联网金融服务', '公司类型': '民营', '年营业额': '17956685 万元（2022年）', '简称': '蚂蚁集团', '董事长': '井贤栋', '注册资本': '3500000 万人民币'}"
