标题,简介,属性
哔哩哔哩,哔哩哔哩（NASDAQ:BILI；HKEX:9626），英文名称：bilibili。该网站于2009年6月26日创建，是中国年轻一代的标志性品牌及领先的视频社区，被网友们亲切地称为“B站”。哔哩哔哩由上海宽娱数码科技有限公司及其关联公司提供服务。2018年3月28日，哔哩哔哩在美国纳斯达克上市。2021年3月29日，哔哩哔哩正式在香港二次上市。2022年9月29日，港交所官网显示，哔哩哔哩在香港联交所由第二上市转为主要上市，于10月3日正式生效。B站早期是一个ACG（动画、漫画、游戏）内容创作与分享的视频网站。经过十年多的发展，围绕用户、创作者和内容，构建了一个源源不断产生优质内容的生态系统，B站已经涵盖7000多个兴趣圈层的多元文化社区，曾获得QuestMobile研究院评选的“Z世代偏爱APP”和“Z世代偏爱泛娱乐APP”两项榜单第一名并入选“BrandZ”报告2019最具价值中国品牌,"{'网站名称': '哔哩哔哩', '别名': 'bilibili、B站', '创始人': '徐逸（总裁）', '总部地点': '上海市杨浦区新江湾城街道政立路499号国正中心2号楼10楼', '上线时间': '2009年6月26日', '主办单位': '上海宽娱数码科技有限公司', '网站类型': '年轻人潮流文化娱乐社区', '网站口号': '哔哩哔哩 - ( ゜- ゜)つロ 干杯~', 'ICP备案号': '沪ICP备13002172号-3', '法定代表人': '郑彬炜', '董事长兼CEO': '陈睿', '副董兼COO': '李旎'}"
新浪,新浪（NASDAQ：SINA），即新浪公司，是一家服务于中国及全球华人社群的网络媒体公司，成立于1998年12月，由王志东创立，现任董事长曹国伟，服务大中华地区与海外华人，新浪拥有多家地区性网站。新浪通过门户网站新浪网、新浪移动和社交媒体微博，帮助广大用户通过电脑和移动设备获得专业媒体和用户自生成的多媒体内容（UGC）并与友人进行兴趣分享。2012年11月新浪注册用户已突破4亿。截至2016年12月31日的第四季度，营收为3.13亿美元，同比增长22%；净利润为1990万美元，同比增长37%；合摊薄后每股利润为0.27美元，同比增长29%；截至2016年12月31日的2016年全年，营收为10.309亿美元，同比增长17%；净利润为2.251亿美元合每股摊薄净收益3.01美元。2000年4月13日，新浪成功在纳斯达克上市。2017年8月3日，2017年“中国互联网企业100强”榜单发布，新,"{'公司名称': '新浪', '外文名': 'SINA', '所属行业': '网络媒体', '成立时间': '1998年12月', '总部地点': '北京', '经营范围': '网络', '公司类型': '股份制公司', '公司口号': '一切由你开始', '年营业额': '21.6亿美元（2019年）', '董事长兼CEO': '曹国伟', '创始人': '王志东', '官网': 'http://www.sina.com.cn'}"
搜狐,搜狐公司是中国的新媒体、通信及移动增值服务公司，互联网企业。创始人兼首席执行官张朝阳。搜狐是一个新闻中心、联动娱乐市场，跨界经营的娱乐中心、体育中心、时尚文化中心，2008北京奥运会互联网内容服务赞助商。2023年9月，北京市委网信办坚持问题导向，针对重点环节出实招、破难题，指导属地重点网站平台在热搜热榜设置固定辟谣位，搜狐网站平台作为首批试点平台。2024年5月20日，搜狐公司于公布了2024年第一季度的财务报告，数据显示，该公司本季度总收入达到了1.39亿美元，折合人民币约为10.05亿元。,"{'公司名称': '搜狐', '外文名': 'SOHU', '成立时间': '1998年2月', '总部地点': '中国北京', '经营范围': '互联网', '公司类型': '民营企业', '公司口号': '上搜狐, 知天下', '年营业额': '18.5 亿美元', '创办人': '张朝阳', '前身': '爱特信信息技术有限公司', '上市': '2000年7月12日'}"
优酷网,优酷网于2006年6月21日创立，12月21日正式上线，是中国领先的在线视频平台。优酷现为阿里巴巴集团数字媒体及娱乐板块的核心业务之一，也是阿里巴巴集团“Double H（健康与快乐）”战略的组成部分。优酷现支持PC、电视、移动、车载四大终端，兼具版权、合制、自制、用户生成内容(UGC)、专业生成内容(PGC)及直播等多种内容形态。2024年3月，优酷与番茄小说宣布达成合作，双方将深度挖掘“超级IP”，共同推动优质内容实现影视化和动漫化落地。4月22日，优酷宣布悬疑剧场升级为白夜剧场。5月27日，优酷推出面向老年群体的“银发剧场”。,"{'公司名称': '优酷', '外文名': 'Youku', '成立时间': '2006年06月21日', '法定代表人': '李巍', '现任领导': '樊路远', '软件类型': '视频平台', '品牌主张': '你的热爱，正在热播'}"
爱奇艺,爱奇艺是由龚宇于2010年4月22日创立的在线视频网站，2011年11月26日启动“爱奇艺”品牌并推出全新标志。爱奇艺成立伊始，坚持“悦享品质”的公司理念，以“用户体验”为使命，通过持续不断的技术投入、产品创新，为用户提供清晰、流畅、界面友好的观影体验。2013年5月7日百度收购PPS视频业务，并与爱奇艺进行合并，现为百度公司旗下平台。2018年3月29日，爱奇艺在美国纳斯达克挂牌上市，股票代码：IQ。在美国纽约时代广场，爱奇艺打出大幅广告庆祝上市。2018年8月6日，爱奇艺、新英体育建合资公司，统一运营爱奇艺体育；8月8日，爱奇艺获金运奖年度最佳创新运营奖。9月3日，爱奇艺对外发布声明称，自即日起关闭显示全站前台播放量数据。11月29日爱奇艺发布公告，计划发行总本金为5亿美元的可转换优先债券。2019年6月11日，爱奇艺入选“2019福布斯中国最具创新力企业榜”。2019年12月，爱奇艺,"{'网站名称': '爱奇艺', '总部地点': '中国北京市', '上线时间': '2018年03月29日', '网站口号': '悦享品质', '外文名': 'iQIYI', '所属行业': '网络视频', '成立时间': '2010年4月22日', '法定代表人': '耿晓华', '年营业额': '289.94 亿元（2020年）', '员工数': '8577 人（2019年）', '公司地址': '北京市海淀区海淀北一街2号11层1101', '创始人、CEO': '龚宇', '品牌关键词': '品质 青春 时尚', '企业文化': '简单想 简单做', '软件类型': '视频平台', '所属公司': '百度'}"
知乎,知乎，是一个中文问答社区。通过使用机器学习技术，挖掘平台上海量数据的价值，帮助构建优质内容生产和消费闭环，辅助进行更高效的平台运营。于2011年1月正式上线，以“让人们更好地分享知识、经验和见解，找到自己的解答”为品牌使命。知乎凭借认真、专业、友善的社区氛围、独特的产品机制以及结构化和易获得的优质内容，聚集了中文互联网科技、商业、影视、时尚、文化领域最具创造力的人群，已成为综合性、全品类、在诸多领域具有关键影响力的知识分享社区和创作者聚集的原创内容平台，建立起了以社区驱动的内容变现商业模式。知乎，2017年11月8日入选时代影响力·中国商业案例TOP30。2019年10月21日，胡润研究院发布《2019胡润全球独角兽榜》，知乎排名第138位。6月6日原有的“知识市场”业务升级为“知乎大学”。7月，知乎完成新一轮融资，融资额接近3亿美元。2019年8月12日，知乎宣布完成F轮融资，总额4.3,"{'网站名称': '知乎', '创始人': '周源', '主办单位': '北京智者天下科技有限公司', '网站类型': '问答社区、创作者聚集的原创内容平台', '网站口号': '有问题，就会有答案', 'ICP备案号': '京ICP备13052560号-1', '外文名': 'Zhihu', '口号': '有问题，就会有答案', '推出时间': '2011年1月', '办公地址': '北京市海淀区学院路甲5号', '使命': '让人们更好地分享知识、经验和见解，找到自己的解答。'}"
豆瓣网,豆瓣（douban）是一个社区网站。网站由杨勃（网名“阿北”） 创立于2005年3月6日。该网站以书影音起家，提供关于书籍、电影、音乐等作品的信息，无论描述还是评论都由用户提供（User-generated content，UGC），是Web2.0网站中具有特色的一个网站。网站还提供书影音推荐、线下同城活动、小组话题交流等多种服务功能，它更像一个集品味系统（读书、电影、音乐）、表达系统（我读、我看、我听）和交流系统（同城、小组、友邻）于一体的创新网络服务，一直致力于帮助都市人群发现生活中有用的事物。2012年8月，豆瓣宣布其月度覆盖独立用户数（Unique Visitors）已超过1亿，日均PV为1.6亿。2013年第二、三季度的豆瓣月度覆盖独立用户数均达2亿，较2011年同期增长一倍。自2020年9月底以来，国家网信办部署开展为期两个月的集中专项整治。专项整治以来，督促“豆瓣”等20家重,"{'网站名称': '北京豆网科技有限公司', '总部地点': '北京', '成立时间': '2005年3月6日', '公司类型': '有限责任公司(自然人独资)', '创始人兼CEO': '杨勃', '官网': 'http://www.douban.com/'}"
小红书,小红书是一个生活方式平台和消费决策入口，由毛文超和瞿芳于2013年在上海创立。小红书平台包括其互联网站、“小红书”客户端软件及依托于其网站或软件的关联网站、软件，小红书平台的运营方是行吟信息科技（上海）有限公司及其关联公司。小红书通过机器学习对海量信息和人进行精准、高效匹配。用户在平台上可以通过短视频、图文等形式记录生活点滴，分享生活方式，并基于兴趣形成互动。2024年5月21日午间，针对网友反馈的非法领养内容，小红书官方发布治理公告。5月21日下午，有网友称小红书崩了。小红书客服回应称已经在紧急修复中，具体时效要看实际修复情况。,"{'软件名称': '小红书', '软件平台': 'AndroidiOS', '最近更新时间': '2024年2月21日', '软件语言': '中文', '开发商': '行吟信息科技（上海）有限公司', '软件版本': '8.24.5', '软件大小': '175.0 MB', '创始人': '毛文超、瞿芳', '总部地点': '上海市黄浦区马当路388号SOHO复兴广场C座', '外文名': 'Little Red Book', '官网': 'http://www.xiaohongshu.com', '运营方': '行吟信息科技（上海）有限公司及其关联公司[154-155]'}"
微信,微信（WeChat）是腾讯公司于2011年1月21日推出的一个为智能终端提供即时通讯服务的免费应用程序，由张小龙所带领的腾讯广州研发中心产品团队打造。 微信支持跨通信运营商、跨操作系统平台通过网络快速发送免费（需消耗少量网络流量）语音短信、视频、图片和文字，同时，也可以使用通过共享流媒体内容的资料和基于位置的社交插件“摇一摇”、“朋友圈”、“公众平台”、“语音记事本”等服务插件。截止到2016年第二季度，微信已经覆盖中国94%以上的智能手机，月活跃用户达到8.06亿，用户覆盖200多个国家和地区、超过20种语言。此外，各品牌的微信公众账号总数已经超过800万个，移动应用对接数量超过85000个，广告收入增至36.79亿人民币，微信支付用户则达到了4亿左右。微信提供公众平台、朋友圈、消息推送等功能，用户可以通过“摇一摇”、“搜索号码”、“附近的人”、扫二维码方式添加好友和关注公众平台，同时微,"{'软件名称': '微信（WeChat）', '软件平台': 'WindowsmacOSAndroidHarmony OSiOS', '上线时间': '2011年1月21日', '最近更新时间': '2024年3月18日（Android版）', '软件语言': '中文、英文、韩文、日文等', '开发商': '腾讯', '软件授权': '私有软件', '软件版本': 'iOS：8.0.49Android：8.0.48Windows：3.9.7Mac：3.8.2', '软件大小': '252.78 MB（微信 8.0.48 for Android）', '总部地点': '广东省广州市海珠区TIT创意园', '软件特性': '即时通讯社交软件'}"
支付宝,支付宝（Alipay）是蚂蚁科技集团股份有限公司旗下业务，成立于2004年，是中国第三方支付开放平台，是当下世界上流行的网络银行和网络支付形式之一。早期的“支付宝”是阿里巴巴集团旗下淘宝网的信用中介、信用担保、担保交易业务，提供网络购物资金第三方托管，在资金流上将卖家的个人信用与“支付宝”依存的企业信用紧密地捆在一起。“支付宝”当下由支付宝（中国）网络技术有限公司和支付宝（杭州）信息技术有限公司作为主体运营，这两个公司都是蚂蚁科技集团股份有限公司的关联公司。其中支付宝（中国）网络技术有限公司是经中国人民银行许可的非银行支付机构，支付宝（杭州）信息技术有限公司是“支付宝”客户端应用软件的开发商。,"{'软件名称': '支付宝', '软件平台': 'AndroidiOSMicrosoft Windows（网页端）macOS（网页端）HarmonyOS', '最近更新时间': '2024年7月4日（Android）', '软件语言': '中文、英文（简体字与繁体字均支持）', '开发商': '支付宝（杭州）信息技术有限公司（手机客户端软件开发商）', '软件版本': '10.6.13.8000（Android）10.6.6.6000（iOS）', '外文名': 'Alipay', '类型': '非银行支付机构、第三方支付平台', '用户规模': '12亿（截至2019年6月）', '运营公司': '支付宝（中国）网络技术有限公司、支付宝（杭州）信息技术有限公司', '合作集团': '阿里巴巴集团', '法定代表人': '韩歆毅', '常用办公联系地址': '中国（上海）自由贸易试验区南泉北路447号15层', '早期口号': '用支付宝，网上无贼', '首次出现时间': '2003年10月18日', '软件ICP备案号': '浙ICP备16025414号-40A[288-289]', '网站ICP备案号': '沪ICP备15027489号-2'}"
抖音,抖音，是由北京抖音信息服务有限公司孵化的一款音乐创意短视频社交软件。抖音上线初期，曾被外界质疑抄袭Musical.ly。2017年11月10日，“今日头条”10亿美元收购北美音乐短视频社交平台Musical.ly，与抖音合并。2018年4月10日，抖音正式上线反沉迷系统。2019年1月，中央电视台宣布抖音成为《2019年中央广播电视总台春节联欢晚会》的独家社交媒体传播平台。2020年1月，火山小视频和抖音正式宣布品牌整合升级，火山小视频更名为抖音火山版，并启用全新图标。2021年1月，抖音与央视春晚联合宣布，抖音成为《2021年中央广播电视总台春节联欢晚会》独家红包互动合作伙伴。这是继2019年春晚后，抖音第二次与央视春晚达成合作。同年6月，抖音正式上线了网页版内测，其官网页面也进行了改版。同年12月16日，抖音电商独立APP抖音盒子在安卓系统和ios系统正式上线。2022年4月，抖音宣布,"{'软件名称': '抖音', '软件平台': 'AndroidiOSWindowsMac OS', '上线时间': '2016年9月12日', '最近更新时间': '2024年4月23日', '软件语言': '简体中文，英语', '开发商': '北京微播视界科技有限公司', '软件版本': '29.7.0（Android）29.7.0（iOS）', '软件大小': '228.89 MB（Android）', '外文名': 'Douyin', 'iOS软件大小': '577.1 MB'}"
快手,快手是北京快手科技有限公司旗下的产品。快手的前身，叫“GIF快手”，诞生于2011年3月，最初是一款用来制作、分享GIF图片的手机应用。2012年11月，快手从纯粹的工具应用转型为短视频社区，成为用户记录和分享生产、生活的平台。2015年6月到次年2月，快手用户从1亿涨到3亿。2019年12月，中央广播电视总台宣布快手成为2020年《春节联欢晚会》独家互动合作伙伴。2021年2月5日，快手正式在香港交易及结算所有限公司上市，首次公开募股融资规模为54亿美元。2023年，快手全年总收入达1134.7亿元，同比增长20.5%，其中净利润首次超百亿达102.7亿元；9月，北京市委网信办坚持问题导向，针对重点环节出实招、破难题，指导属地重点网站平台在热搜热榜设置固定辟谣位，快手作为首批试点平台。2019年12月15日，快手获得“2019中国品牌强国盛典年度新锐品牌”。2020年8月，《苏州高新区2,"{'软件名称': '快手', '软件平台': 'Android、iOS', '上线时间': '2011年3月', '最近更新时间': '2023年11月16日', '软件语言': '简体中文、繁体中文、 英文', '开发商': '北京快手科技有限公司', '软件版本': '11.10.20.33876（Android）11.10.20（iOS）', '软件大小': '103.72 MB（Android）', 'iOS软件大小': '423.2MB'}"
微博,微博（旧称：新浪微博）于2009年8月上线；自上线以来，注册用户数就一直保持着爆发式增长，2010年10月底超过5000万。2014年3月27日，新浪微博正式更名为微博；4月17日晚，新浪公司旗下微博业务正式登陆纳斯达克，股票代码WB。2018年11月1日上线的新版本客户端起，微博暂停对不满14周岁的未成年人开放注册功能；10月29日，微博暂停“微博城市校园账号代运营项目”。2020年6月10日，北京网信办依法约谈处罚新浪微博，热搜停更一周。2020年6月12日22时起，用户发布评论，须关注博主7天以上，但博主已经设置“我关注的人”可评论自己的除外。本次调整为期7天。2020年9月14日，中华人民共和国国家互联网信息办公室发布消息称，微博、豆瓣网、抖音、兴趣部落、超级星饭团、爱豆等平台中存在大量诱导未成年人参与应援打榜、大额消费、煽动挑拨青少年粉丝群体互撕谩骂的不良信息和行为。2021年8,"{'网站名称': '微博', '别名': 'weibo', '总部地点': '北京', '上线时间': '2009年8月14日', '网站类型': '社交', '年营业额': '122.4 亿元', '董事长': '曹国伟', 'CEO': '王高飞', '所属企业': '北京微梦创科网络技术有限公司', '管理规章': '《微博社区公约》'}"
淘宝网,淘宝网是亚太地区较大的网络零售、商圈，由阿里巴巴集团在2003年5月创立。淘宝网是中国深受欢迎的网购零售平台，拥有近5亿的注册用户数，每天有超过6000万的固定访客，同时每天的在线商品数已经超过了8亿件，平均每分钟售出4.8万件商品。随着淘宝网规模的扩大和用户数量的增加，淘宝也从单一的C2C网络集市变成了包括C2C、团购、分销、拍卖等多种电子商务模式在内的综合性零售商圈。已经成为世界范围的电子商务交易平台之一。2024年2月，有多名网友发现部分淘宝订单可直接跳转至微信支付进行付款。淘宝客服表示，微信支付目前仅针对部分用户逐步开放，且仅支持购买部分商品时可选择。淘宝后续将逐步全部进行覆盖。4月27日，据界面新闻“电厂”报道，2024年618期间，淘宝、京东均取消预售机制。5月，淘宝宣布网页版启动升级，在产品体验、商品供给、内容供给等方面做了全面优化，同时，还重新上线了淘宝网早期论坛“淘江湖”,"{'中文名': '淘宝网', '外文名': 'Taobao', '创立时间': '2003年5月', '创始人': '马云', '所属公司': '阿里巴巴集团', '网站类型': '综合类C2C网上购物平台', '营业额': '1万亿人民币（含天猫平台）', '办公地点': '浙江杭州', 'slogan': '太好逛了吧'}"
天猫,“天猫”（英文：Tmall，亦称淘宝商城、天猫商城）原名淘宝商城，是一个综合性购物网站。2012年1月11日上午，淘宝商城正式宣布更名为“天猫”。2012年3月29日天猫发布全新Logo形象。2012年11月11日，天猫借光棍节大赚一笔，宣称13小时卖100亿，创世界纪录。天猫是马云淘宝网全新打造的B2C（Business-to-Consumer，商业零售）。其整合数千家品牌商、生产商，为商家和消费者之间提供一站式解决方案。提供100%品质保证的商品，7天无理由退货的售后服务，以及购物积分返现等优质服务。2014年2月19日，阿里集团宣布天猫国际正式上线，为国内消费者直供海外原装进口商品。2018年11月26日，天猫升级为“大天猫”，形成天猫事业群、天猫超市事业群、天猫进出口事业部三大板块。2019年03月06日，蒋凡接替靖捷，任天猫总裁。2019年9月7日，中国商业联合会、中华全国商业信,"{'中文名': '天猫', '外文名': 'TMALL', '原名': '淘宝商城', '应用类别': '生活', '语种': '中文', '成立时间': '2012年1月11日（壬辰年）', 'CEO': '张勇', '创建人': '马云'}"
京东商城,"京东是中国的综合网络零售商，是中国电子商务领域受消费者欢迎和具有影响力的电子商务网站之一，在线销售家电、数码通讯、电脑、家居百货、服装服饰、母婴、图书、食品、在线旅游等12大类数万个品牌百万种优质商品。京东在2012年的中国自营B2C市场占据49%的份额，凭借全供应链继续扩大在中国电子商务市场的优势。京东已经建立华北、华东、华南、西南、华中、东北六大物流中心，同时在全国超过360座城市建立核心城市配送站。2012年8月14日，京东与苏宁开打""史上最惨烈价格战"" 。2013年3月30日19点整正式切换了域名，并且更换新的logo2018年1月11日，刘强东发出内部邮件，宣布京东商城将组建大快消事业群、电子文娱事业群和时尚生活事业群。3月，北京市消协官网显示，北京市消协2017年在京东商城购买74种比较试验样品，其中有33种不达标，不达标率为44.6%。2019年6月19日凌晨消息，京东618","{'公司名称': '北京京东世纪贸易有限公司', '成立时间': '2004年1月', '总部地点': '北京市北京经济技术开发区科创十一街18号', '经营范围': '网络零售服务', '公司类型': 'B2C', '公司口号': '做中国最大，全球前五强电子商务公司', '年营业额': '2012年 远超600亿人民币', '员工数': '超过2万人', '涉及产品': '3C数码、家电图书、百货、机票等', '重要人物': '刘强东（董事局主席兼CEO）'}"
苏宁易购集团股份有限公司,苏宁易购集团股份有限公司创办于1990年12月26日，总部位于南京，是中国商业企业的领先者，经营商品涵盖传统家电、消费电子、百货、日用品、图书、虚拟产品等综合品类。截至2019年，全场景苏宁易购线下网络覆盖全国，拥有苏宁广场、苏宁易购广场、家乐福社区中心、苏宁百货，苏宁小店、苏宁零售云，苏宁极物、苏宁红孩子、苏宁体育、苏宁影城、苏宁汽车超市等“一大两小多专”各类创新互联网门店13000多家，稳居国内线下网络前列；苏宁易购线上通过自营、开放和跨平台运营，跻身中国B2C行业前列。线上线下的融合发展引领零售发展新趋势。正品行货、品质服务、便捷购物、舒适体验。2021年2月28日，深圳国际控股有限公司发布公告，拟148亿收购张近东等所持苏宁易购集团股份有限公司23%股份。2021年6月16日，苏宁易购于开市起临时停牌。2021年7月12日，苏宁易购发布公告，张近东辞任苏宁易购董事长，在新董事长任命,"{'公司名称': '苏宁易购集团股份有限公司', '外文名': 'SUNING.COMCO.,LTD.', '成立时间': '1990年', '法定代表人': '任峻', '总部地点': '南京市山西路8号金山大厦1-5层', '经营范围': '零售', '公司类型': '股份有限公司(上市)', '公司口号': '上网上街上苏宁', '年营业额': '713.74 亿元（2021年）', '员工数': '180000余人', '董事长': '黄明端', '代言人': '关晓彤、张艺兴、江疏影', '官网': 'http://www.suning.cn/', '注册资本': '931003.9655万'}"
国美电器,"1987年1月1日，黄光裕先生在北京珠市口大街开设国美首家门店。1993年，国美把北京的店铺统一命名为“国美电器”，进行统一品牌经营。1995年，国美采用标准化、可复制的家电连锁经营模式，开创了中国家电零售连锁经营模式的先河。2004年，国美电器在香港成功上市，发展进入快车道。2009年，入选中国世界纪录协会“中国最大的家电零售连锁企业”。截至2021年6月30日，国美线下实体门店数量为3895家，遍布全国500多个城市，会员人数超过2亿。2011年4月，国美电子商务网站全新上线。国美率先创新出“B2C+实体店”融合的电子商务运营模式。2016年8月，国美电器在""2016中国企业500强""中排名第104位。2019年9月7日，中国商业联合会、中华全国商业信息中心发布2018年度中国零售百强名单，国美电器位列7家企业销售规模过千亿元之一。2020年8月13日，国美宣布成立国美线上平台公司。2","{'公司名称': '国美电器', '外文名': 'GOME', '成立时间': '1987年1月1日', '总部地点': '北京鹏润大厦', '经营范围': '家电', '公司类型': '民营企业[23-24]', '公司口号': '国美·家美·生活美', '创始人': '黄光裕', '现任董事长': '黄秀虹', '公司使命': '以科技提升效益，以智慧创造美好'}"
唯品会,唯品会信息科技有限公司（VIPS）成立于2008年8月，总部设在中国广东省广州市，旗下网站于同年12月8日上线。唯品会主营业务为互联网在线销售品牌折扣商品，涵盖名品服饰鞋包、美妆、母婴、居家等各大品类。2012年3月23日，唯品会在美国纽约证券交易所（NYSE）上市。自上市以来，截至2021年6月30日，唯品会已连续35个季度实现盈利。2020年全年，唯品会实现净营收1019亿元人民币，同比增长9.5%。唯品会2021年Q2净营收296亿元人民币，活跃用户数为5110万，同比增长32%。唯品会在中国开创了“名牌折扣+限时抢购+正品保障”的创新电商模式，并持续深化为“精选品牌+深度折扣+限时抢购”的正品特卖模式。这一模式被形象地誉为“线上奥特莱斯”。2019年7月唯品会通过收购杉杉奥莱，将线上特卖和线下特卖开始进行深度整合，打造全渠道的特卖体系。在2018年《财富》发布的未来50强榜单中，唯,"{'公司名称': '唯品会', '外文名': 'VIPSHOP', '成立时间': '2008年8月', '总部地点': '中国广州', '经营范围': '互联网在线销售品牌折扣商品，涵盖名品服饰鞋包、美妆、母婴、居家等各大品类', '公司类型': '民营', '公司口号': '品牌特卖，就是超值', '年营业额': '1031.52 亿元（2022年）'}"
当当网,当当是知名的综合性网上购物商城，由国内著名出版机构科文公司、美国老虎基金、美国IDG集团、卢森堡剑桥集团、亚洲创业投资基金（原名软银中国创业基金）共同投资成立。从1999年11月正式开通，当当已从早期的网上卖书拓展到网上卖各品类百货，包括图书音像、美妆、家居、母婴、服装和3C数码等几十个大类，数百万种商品。物流方面，当当在全国600个城市实现“111全天达”，在1200多个区县实现了次日达，货到付款(COD)方面覆盖全国2700个区县。当当于美国时间2010年12月8日在纽约证券交易所正式挂牌上市，成为中国第一家完全基于线上业务、在美国上市的B2C网上商城。2016年5月28日，当当宣布与当当控股有限公司和当当合并有限公司签署最终的合并协议与计划。2016年9月12日，当当股东投票批准了该私有化协议。当当从纽交所退市，变成一家私人控股企业。2018年3月，北京市消协官网显示，北京市消协20,"{'公司名称': '当当', '外文名': 'Dangdang', '成立时间': '1999年11月', '总部地点': '北京', '经营范围': '图书音像、服装鞋包、家居家纺、孕婴童等', '公司类型': '综合网上购物商城', '公司口号': '敢做敢当当', '创始人': '李国庆、俞渝', '公司吉祥物': '当当猴', '官网': 'http://www.dangdang.com/'}"
亚马逊中国,亚马逊中国是一家中国B2C电子商务网站，前身为卓越网，被亚马逊公司收购后，成为其子公司。经营图书音像软件、图书 、影视等。卓越网创立于2000年，为客户提供各类图书、音像、软件、玩具礼品、百货等商品。亚马逊中国总部设在北京，并成立了上海和广州分公司。已经成为中国网上零售的领先者。亚马逊中国是全球最大的电子商务公司亚马逊在中国的网站。致力于从低价、选品、便利三个方面为消费者打造一个可信赖的网上购物环境。2014年10月30日，直邮中国试运行。2023年12月28日起将不再提供新Prime会员注册；2024年1月27日起将不再提供Prime会员服务，自2024年1月27日起推出新版“亚马逊购物”App，电脑端将不再提供购物服务。2024年4月10日，亚马逊中国被曝裁员。,"{'网站名称': '亚马逊中国', '总部地点': '北京', '主办单位': 'Amazon', '网站类型': 'B2C电子商务网站', '产品种类': '图书、影视、音乐、软件等', '前身': '卓越网'}"
